状态码,请求方式,REST_代码,含义
407 PROXY AUTHENTICATION REQUIRED,,HTTP_407_PROXY_AUTHENTICATION_REQUIRED,此代码类似于401（未授权），但表示客户端必须首先使用代理进行身份验证
408 REQUEST TIMEOUT,,HTTP_408_REQUEST_TIMEOUT,请求超时。客户端在服务器准备等待的时间内没有产生请求
409 CONFLICT,,HTTP_409_CONFLICT,由于与资源的当前状态冲突，无法完成请求
410 Gone,GET,HTTP_410_GONE,"用户请求的资源被永久删除, 且不会再得到的"
411 LENGTH REQUIRED,,HTTP_411_LENGTH_REQUIRED,服务器无法处理客户端发送的不带Content-Length的请求信息
412 PRECONDITION FAILED,,HTTP_412_PRECONDITION_FAILED,在服务器上测试时，一个或多个请求标头字段中给出的前提条件被评估为false
413 REQUEST ENTITY TOO LARGE,,HTTP_413_REQUEST_ENTITY_TOO_LARGE,服务器拒绝处理请求，因为请求实体大于服务器能够处理的请求实体
414 REQUEST URI TOO LONG,,HTTP_414_REQUEST_URI_TOO_LONG,请求的资源URL长于服务器允许的长度
415 UNSUPPORTED MEDIA TYPE,,HTTP_415_UNSUPPORTED_MEDIA_TYPE,服务器无法处理请求附带的媒体格式
416 REQUESTED RANGE NOT SATISFIABLE,,HTTP_416_REQUESTED_RANGE_NOT_SATISFIABLE,客户端请求的范围无效
417 EXPECTATION FAILED,,HTTP_417_EXPECTATION_FAILED,服务器不满足请求Expect头字段指定的期望值，如果是代理服务器，可能是下一级服务器不能满足请求长
422 Unprocesable entity,POST/PUT/PATCH,HTTP_422_UNPROCESSABLE_ENTITY,"当创建一个对象时, 发生一个验证错误"
423 LOCKED,,HTTP_423_LOCKED,锁定；当前资源被锁定
424 FAILED DEPENDENCY,,HTTP_424_FAILED_DEPENDENCY,错误接洽关系。由于之前的某个请求发生的错误，导致当前请求失败，例如 PROPPATCH
428 PRECONDITION REQUIRED,,HTTP_428_PRECONDITION_REQUIRED,要求先决条件；先决条件是客户端发送 HTTP 请求时，如果想要请求能成功必须满足一些预设的条件
429 TOO MANY REQUESTS,,HTTP_429_TOO_MANY_REQUESTS,请求过多
431 REQUEST HEADER FIELDS TOO LARGE,,HTTP_431_REQUEST_HEADER_FIELDS_TOO_LARGE,请求头字段太大
451 UNAVAILABLE FOR LEGAL REASONS,,HTTP_451_UNAVAILABLE_FOR_LEGAL_REASONS,因法律原因而被官方审查
500 INTERNAL SERVER ERROR,*,HTTP_500_INTERNAL_SERVER_ERROR,服务器发生错误
501 NOT IMPLEMENTED,,HTTP_501_NOT_IMPLEMENTED,服务器不支持请求的功能，无法完成请求
502 BAD GATEWAY,,HTTP_502_BAD_GATEWAY,服务器在充当网关或代理时，在尝试完成请求时从其访问的上游服务器收到无效响应
503 SERVICE UNAVAILABLE,,HTTP_503_SERVICE_UNAVAILABLE,服务不可用；由于服务器的临时过载或维护，服务器当前无法处理请求。一般为暂时性的
504 GATEWAY TIMEOUT,,HTTP_504_GATEWAY_TIMEOUT,作为网关或代理服务器，服务器没有收到来自URI指定的上游服务器的及时响应（例如HTTP，FTP，LDAP）或尝试完成时需要访问的其他辅助服务器（例如DNS）请求
505 VERSION NOT SUPPORTED,,HTTP_505_HTTP_VERSION_NOT_SUPPORTED,服务器不支持或拒绝支持请求消息中使用的HTTP协议版本
507 INSUFFICIENT STORAGE,,HTTP_507_INSUFFICIENT_STORAGE,存储空间不足
511 NETWORK AUTHENTICATION REQUIRED,,HTTP_511_NETWORK_AUTHENTICATION_REQUIRED,网络认证请求；如果你频繁使用笔记本和智能手机，你可能会注意到大量的公用 WIFI 服务要求你必须接受一些协议或者必须登录后才能使用
